Id,Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Median gross rent 2015,Median gross rent,with other types of income,with public assistance income,total
1500000US220710069002,13250,11042,618,625,0,0,19
1500000US220710069003,13092,12440,350,329,22,0,153
1500000US220710070001,20139,7917,-,1091,16,0,70
1500000US220710070002,13125,13125,774,781,4,0,136
1500000US220710071011,32833,33750,895,1030,12,9,329
1500000US220710071012,14141,13371,640,565,36,0,790
1500000US220710072001,16234,20000,958,968,31,33,630
1500000US220710072002,28056,23160,690,714,21,0,278
1500000US220710072003,28750,14219,863,690,19,8,119
1500000US220710075011,20521,19643,808,850,14,0,206
1500000US220710075012,30588,34833,822,850,15,14,220
1500000US220710075013,20179,20664,853,908,10,0,217
1500000US220710075014,20179,19474,817,938,18,0,188
1500000US220710075015,19837,19821,925,-,20,0,139
1500000US220710075021,25682,26750,717,708,9,0,116
1500000US220710075022,14207,14583,860,-,10,9,131
1500000US220710075023,11575,12219,867,948,31,0,311
1500000US220710075024,18224,13095,1102,1083,30,0,162
1500000US220710075025,27632,27386,809,842,0,9,287
1500000US220710076041,138083,126607,1750,1865,14,0,369
1500000US220710076042,205417,191591,-,-,48,0,286
1500000US220710076051,18313,14309,783,788,35,0,275
1500000US220710076052,20938,22000,783,915,18,0,334
1500000US220710076061,83534,75972,1233,1175,31,0,761
1500000US220710076062,66528,64306,1410,990,18,0,432
1500000US220710076063,69643,70667,1381,1328,21,0,636
1500000US220710077001,87072,85439,1380,1361,9,9,877
1500000US220710077002,61729,56523,1456,1382,154,15,751
1500000US220710078001,52708,66402,1086,1169,73,13,671
1500000US220710082001,43281,49185,850,875,28,0,454
1500000US220710082002,49250,44018,979,894,40,0,482
1500000US220710083001,49632,65139,1128,1111,33,5,321
1500000US220710083002,83250,93214,984,992,0,0,232
1500000US220710084001,33456,34286,957,973,43,15,336
1500000US220710084002,28333,26250,937,941,16,0,358
1500000US220710085001,9327,9525,579,459,16,33,330
1500000US220710085002,16394,17278,668,660,10,8,245
1500000US220710086001,12396,16447,638,703,14,0,216
1500000US220710086002,17206,17305,918,853,17,13,199
1500000US220710088001,41538,67083,1081,1137,45,9,411
1500000US220710088002,78250,79038,1280,1250,35,8,456
1500000US220710090001,71705,88750,1280,978,25,0,305
1500000US220710090002,172019,158750,1250,1166,10,0,286
1500000US220710090003,80114,94545,1080,1125,27,14,428
1500000US220710091001,42250,43810,1135,1074,9,0,342
1500000US220710091002,40469,51389,844,859,6,0,186
1500000US220710091003,40469,21875,636,601,0,8,181
1500000US220710091004,32632,30125,845,804,50,0,409
1500000US220710092001,17500,16250,849,846,0,5,150
1500000US220710092002,16250,18750,589,574,61,10,216
1500000US220710092003,10795,14375,710,758,0,5,243
1500000US220710094001,21250,26538,811,869,13,0,164
1500000US220710094002,18750,33235,726,-,2,0,74
1500000US220710094003,9028,10682,852,805,5,0,114
1500000US220710094004,9741,9643,758,917,6,5,150
1500000US220710096001,71250,63784,1020,1045,0,14,262
1500000US220710096002,61250,52500,1179,1063,10,0,246
1500000US220710096003,40179,47500,795,767,50,3,228
1500000US220710097001,57250,46250,1285,1065,18,5,368
1500000US220710097002,35363,35884,869,878,58,3,353
1500000US220710099001,53477,52931,970,1015,32,0,520
1500000US220710099002,67250,64583,1255,1283,10,12,443
1500000US220710099003,46650,45335,972,1041,36,0,475
1500000US220710100001,19423,18977,675,725,10,0,142
1500000US220710100002,17083,18102,691,911,6,5,193
1500000US220710100003,48516,44394,786,894,21,0,308
1500000US220710100004,20500,17750,881,819,8,0,121
1500000US220710101001,35813,36136,1000,1097,35,7,318
1500000US220710101002,68712,67806,1357,1377,53,0,607
1500000US220710102001,68712,14297,850,881,53,0,151
1500000US220710102002,68712,12143,924,947,0,21,102
1500000US220710102003,46250,34000,681,538,0,5,128
1500000US220710102004,46250,32083,1081,1033,18,14,155
1500000US220710102005,37188,37738,1015,986,45,0,200
1500000US220710103001,19286,16641,966,952,6,0,259
1500000US220710103002,26211,17351,1037,641,46,30,329
1500000US220710103003,32188,37371,1230,890,13,0,263
1500000US220710103004,34167,16987,1168,1175,11,0,182
1500000US220710106001,56346,51875,1142,989,37,12,316
1500000US220710106002,40000,34808,992,928,12,0,366
1500000US220710107001,75893,76111,1190,1172,4,0,280
1500000US220710107002,67697,68894,1071,1076,8,0,593
1500000US220710108001,104063,101250,1071,1154,28,0,173
1500000US220710108002,100363,85648,1309,1318,12,0,492
1500000US220710109001,55875,75268,1100,794,54,0,269
1500000US220710109002,70375,69054,1144,1172,37,0,504
1500000US220710109003,69310,69886,1223,1386,52,0,381
1500000US220710109004,37958,36250,1083,1052,57,0,272
1500000US220710111001,32375,15946,911,738,22,0,192
1500000US220710111002,36550,37202,964,1048,17,0,291
1500000US220710111003,49583,53839,1078,1060,49,0,154
1500000US220710112001,58633,58269,1381,1375,10,0,288
1500000US220710112002,61938,70250,1331,1157,47,7,309
1500000US220710114001,60313,112892,1345,1266,34,0,445
1500000US220710114002,50223,51648,1280,1268,39,0,555
1500000US220710115001,133958,106500,1789,1704,12,0,286
1500000US220710115002,78654,82857,1293,1299,14,0,350
1500000US220710116001,156875,114250,1460,1309,5,0,354
1500000US220710116002,150714,115714,1500,1465,12,0,304
1500000US220710117001,128393,128438,2190,"2,000+",8,0,210
1500000US220710117002,120156,123182,1188,1191,17,0,240
1500000US220710117003,120156,125795,2604,"2,000+",8,0,315
1500000US220710117004,156000,189667,1576,1980,28,0,330
1500000US220710119001,103750,101250,1333,1283,26,0,226
1500000US220710119002,72500,68438,1537,1590,7,0,247
1500000US220710119003,48173,39861,1538,1631,22,0,225
1500000US220710120001,85625,66333,1337,1409,29,0,504
1500000US220710120002,109583,138750,1337,1483,20,0,176
1500000US220710121011,43516,43548,1227,1283,59,0,406
1500000US220710121012,89000,77788,1205,1323,52,0,429
1500000US220710121021,39904,33897,864,1255,0,4,203
1500000US220710121022,39904,123750,-,-,4,0,16
1500000US220710121023,62353,85893,1438,1458,11,0,219
1500000US220710122001,112321,94432,1231,1241,31,13,495
1500000US220710122002,91458,76579,1745,1574,31,7,426
1500000US220710123001,26350,24934,955,970,17,19,229
1500000US220710123002,47373,49333,1167,1149,49,11,336
1500000US220710123003,87125,76818,1269,1409,47,0,344
1500000US220710124001,35052,24511,741,736,0,0,267
1500000US220710124002,84000,81750,916,918,22,10,405
1500000US220710125001,41250,47262,1064,1128,7,0,278
1500000US220710125002,43667,41000,863,869,32,4,528
1500000US220710126001,86250,55000,1112,1106,36,0,294
1500000US220710126002,38309,39297,971,970,10,0,317
1500000US220710126003,42639,55000,1017,1125,0,0,270
1500000US220710127001,41328,40265,1098,1059,0,0,343
1500000US220710127002,71509,46625,1050,1020,26,0,209
1500000US220710127003,51395,51719,1123,1167,0,7,220
1500000US220710127004,60833,62188,1117,1084,38,0,235
1500000US220710128001,51786,51406,826,1003,30,0,253
1500000US220710128002,89375,86923,960,1035,7,0,340
1500000US220710128003,64653,70278,1284,1260,31,0,378
1500000US220710129001,40962,41894,930,886,13,6,470
1500000US220710129002,42083,61736,1010,1012,42,0,283
1500000US220710130001,43125,23906,1121,1023,42,0,293
1500000US220710130002,31786,29837,844,835,51,0,239
1500000US220710130003,38000,37222,944,909,18,0,214
