year,exporter,expAddress,exporterCity,quant,units,importer,impAddress,impCity,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,98390.78131,kg,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,8237.2398,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,18098.34075,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,62323.6095,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,158140.4892,kg,CLEAN HARBORS INC,2258 RIVER ROAD,LONDON,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,1542.2145,kg,CLEAN HARBORS INC,2258 RIVER ROAD,LONDON,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,1060.499265,kg,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,11726.27331,kg,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,49.89517502,kg,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,61183.27798,kg,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,8567.455143,kg,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,2635.372426,kg,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,2902.992,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,488.0655302,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,9797.598,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,272.1555,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,22.679625,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,1905.0885,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,662.24505,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,45.35925,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,20819.755,l,CLEAN HARBORS INC,6785 ROUTE 132,SAINTE-CATHERINE,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,289704,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,81203,l,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2006,CLEAN HARBORS INC,32 BASK ROAD,GLENMONT,16130,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2006,CLEAN HARBORS INC,32 BASK ROAD,GLENMONT,258814,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,36570,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,340798,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,24747,kg,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,250,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2006,CLEAN HARBORS INC,208 WATLINGTON INDUSTRIAL DRIVE,REIDSVILLE,154889.1382,kg,CLEAN HARBORS INC,1294 STE-MARGUERITE,MERCIER,,
2006,CLEAN HARBORS INC,32 BASK ROAD,GLENMONT,349598,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
