Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With other types of income,Margin of Error; Total: - With other types of income,Estimate; Total: - No other types of income,Margin of Error; Total: - No other types of income
1500000US220710017224,2.2071E+11,"Block Group 4, Census Tract 17.22, Orleans Parish, Louisiana",172,54,14,23,158,56
1500000US220710017225,2.2071E+11,"Block Group 5, Census Tract 17.22, Orleans Parish, Louisiana",349,80,76,49,273,74
1500000US220710017226,2.2071E+11,"Block Group 6, Census Tract 17.22, Orleans Parish, Louisiana",123,62,13,20,110,58
1500000US220710017227,2.2071E+11,"Block Group 7, Census Tract 17.22, Orleans Parish, Louisiana",121,66,11,16,110,70
1500000US220710017231,2.2071E+11,"Block Group 1, Census Tract 17.23, Orleans Parish, Louisiana",272,82,17,27,255,80
1500000US220710017232,2.2071E+11,"Block Group 2, Census Tract 17.23, Orleans Parish, Louisiana",738,108,46,37,692,108
1500000US220710017233,2.2071E+11,"Block Group 3, Census Tract 17.23, Orleans Parish, Louisiana",331,89,32,27,299,93
1500000US220710017234,2.2071E+11,"Block Group 4, Census Tract 17.23, Orleans Parish, Louisiana",508,102,76,55,432,112
1500000US220710017241,2.2071E+11,"Block Group 1, Census Tract 17.24, Orleans Parish, Louisiana",268,83,46,37,222,83
1500000US220710017242,2.2071E+11,"Block Group 2, Census Tract 17.24, Orleans Parish, Louisiana",356,90,38,35,318,85
1500000US220710017243,2.2071E+11,"Block Group 3, Census Tract 17.24, Orleans Parish, Louisiana",612,118,50,49,562,116
1500000US220710017244,2.2071E+11,"Block Group 4, Census Tract 17.24, Orleans Parish, Louisiana",426,119,133,97,293,95
1500000US220710017251,2.2071E+11,"Block Group 1, Census Tract 17.25, Orleans Parish, Louisiana",765,156,105,99,660,161
1500000US220710017252,2.2071E+11,"Block Group 2, Census Tract 17.25, Orleans Parish, Louisiana",559,129,69,72,490,145
1500000US220710017253,2.2071E+11,"Block Group 3, Census Tract 17.25, Orleans Parish, Louisiana",521,127,50,55,471,125
1500000US220710017254,2.2071E+11,"Block Group 4, Census Tract 17.25, Orleans Parish, Louisiana",569,139,39,45,530,133
