Id,Id,Year,Total,White,Black or African American,American Indian or Alaskan Native,Asian,,Hispanic,Some other race
2.2071E+11,1500000US220710102001,1990,663,42,621,0,0,,0,0
2.2071E+11,1500000US220710111005,1990,520,63,435,11,11,,0,0
2.2071E+11,1500000US220710121021,1990,355,355,0,0,0,,0,0
2.2071E+11,1500000US220710006022,1990,913,210,703,0,0,,0,0
2.2071E+11,1500000US220710126002,1990,758,250,475,0,22,,11,11
2.2071E+11,1500000US220710006021,1990,886,387,474,0,0,,42,25
2.2071E+11,1500000US220710126003,1990,559,536,9,14,0,,7,0
2.2071E+11,1500000US220710093011,1990,412,0,412,0,0,,17,0
2.2071E+11,1500000US220710086004,1990,144,0,144,0,0,,0,0
2.2071E+11,1500000US220710004004,1990,708,21,687,0,0,,0,0
2.2071E+11,1500000US220710112002,1990,737,472,215,0,16,,57,34
2.2071E+11,1500000US220710121022,1990,3561,3161,286,0,98,,217,16
2.2071E+11,1500000US220710080003,1990,257,0,257,0,0,,0,0
2.2071E+11,1500000US220710067002,1990,262,69,182,0,11,,11,0
2.2071E+11,1500000US220710080004,1990,156,0,156,0,0,,0,0
2.2071E+11,1500000US220710085001,1990,369,0,369,0,0,,0,0
2.2071E+11,1500000US220710080001,1990,193,0,193,0,0,,0,0
2.2071E+11,1500000US220710103002,1990,1214,33,1181,0,0,,14,0
2.2071E+11,1500000US220710094005,1990,367,0,367,0,0,,0,0
2.2071E+11,1500000US220710086003,1990,478,25,453,0,0,,0,0
2.2071E+11,1500000US220710080002,1990,227,0,227,0,0,,0,0
2.2071E+11,1500000US220710003004,1990,599,6,593,0,0,,0,0
2.2071E+11,1500000US220710003001,1990,370,5,365,0,0,,0,0
2.2071E+11,1500000US220710068004,1990,182,0,182,0,0,,0,0
2.2071E+11,1500000US220710127004,1990,544,479,44,0,21,,0,0
2.2071E+11,1500000US220710077001,1990,617,542,75,0,0,,11,0
2.2071E+11,1500000US220710068005,1990,650,0,650,0,0,,0,0
2.2071E+11,1500000US220710103003,1990,835,121,714,0,0,,17,0
2.2071E+11,1500000US220710086005,1990,787,56,725,0,0,,46,6
2.2071E+11,1500000US220710006023,1990,900,212,679,0,0,,0,9
2.2071E+11,1500000US220710067003,1990,66,0,66,0,0,,0,0
2.2071E+11,1500000US220710004003,1990,584,136,448,0,0,,0,0
