Id,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Hispanic,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710014024,"Block Group 4, Census Tract 14.02, Orleans Parish, Louisiana",606,164,2,3,604,163,0,12,0,12,0,12,17,0,12,0,12,0,12,0,12
1500000US220710015001,"Block Group 1, Census Tract 15, Orleans Parish, Louisiana",538,198,62,87,459,216,0,12,0,12,0,12,0,10,14,7,10,0,12,7,10
1500000US220710015002,"Block Group 2, Census Tract 15, Orleans Parish, Louisiana",315,137,65,53,250,125,0,12,0,12,0,12,11,0,12,0,12,0,12,0,12
1500000US220710016001,"Block Group 1, Census Tract 16, Orleans Parish, Louisiana",0,12,0,12,0,12,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017011,"Block Group 1, Census Tract 17.01, Orleans Parish, Louisiana",654,156,2,4,645,156,0,12,0,12,0,12,0,0,12,7,10,7,10,0,12
1500000US220710017012,"Block Group 2, Census Tract 17.01, Orleans Parish, Louisiana",451,180,0,12,448,181,0,12,0,12,0,12,0,0,12,3,6,3,6,0,12
1500000US220710017013,"Block Group 3, Census Tract 17.01, Orleans Parish, Louisiana",505,145,6,11,499,144,0,12,0,12,0,12,6,0,12,0,12,0,12,0,12
1500000US220710017021,"Block Group 1, Census Tract 17.02, Orleans Parish, Louisiana",813,292,0,12,813,292,0,12,0,12,0,12,21,0,12,0,12,0,12,0,12
1500000US220710017022,"Block Group 2, Census Tract 17.02, Orleans Parish, Louisiana",784,290,12,17,772,288,0,12,0,12,0,12,13,0,12,0,12,0,12,0,12
1500000US220710017023,"Block Group 3, Census Tract 17.02, Orleans Parish, Louisiana",437,183,124,92,313,142,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017024,"Block Group 4, Census Tract 17.02, Orleans Parish, Louisiana",527,204,356,191,108,70,0,12,63,59,0,12,6,0,12,0,12,0,12,0,12
1500000US220710017201,"Block Group 1, Census Tract 17.20, Orleans Parish, Louisiana",735,294,0,12,655,281,0,12,9,14,0,12,0,13,19,58,68,0,12,58,68
1500000US220710017202,"Block Group 2, Census Tract 17.20, Orleans Parish, Louisiana",659,214,0,12,659,214,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017203,"Block Group 3, Census Tract 17.20, Orleans Parish, Louisiana",855,268,12,20,843,271,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017204,"Block Group 4, Census Tract 17.20, Orleans Parish, Louisiana",933,343,20,31,902,345,0,12,11,17,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017221,"Block Group 1, Census Tract 17.22, Orleans Parish, Louisiana",376,182,0,12,376,182,0,12,0,12,0,12,22,0,12,0,12,0,12,0,12
1500000US220710017222,"Block Group 2, Census Tract 17.22, Orleans Parish, Louisiana",625,272,35,53,543,239,0,12,0,12,22,35,0,0,12,25,38,0,12,25,38
1500000US220710017223,"Block Group 3, Census Tract 17.22, Orleans Parish, Louisiana",1090,405,0,12,1067,413,0,12,0,12,0,12,0,23,34,0,12,0,12,0,12
1500000US220710017224,"Block Group 4, Census Tract 17.22, Orleans Parish, Louisiana",423,186,0,12,293,124,0,12,0,12,0,12,148,130,205,0,12,0,12,0,12
1500000US220710017225,"Block Group 5, Census Tract 17.22, Orleans Parish, Louisiana",973,342,65,39,895,339,0,12,0,12,0,12,0,5,8,8,12,0,12,8,12
1500000US220710017226,"Block Group 6, Census Tract 17.22, Orleans Parish, Louisiana",213,100,0,12,213,100,0,12,0,12,0,12,14,0,12,0,12,0,12,0,12
1500000US220710017227,"Block Group 7, Census Tract 17.22, Orleans Parish, Louisiana",181,105,0,12,181,105,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017231,"Block Group 1, Census Tract 17.23, Orleans Parish, Louisiana",916,373,29,33,752,303,0,12,0,12,0,12,0,0,12,135,187,0,12,135,187
1500000US220710017232,"Block Group 2, Census Tract 17.23, Orleans Parish, Louisiana",1585,354,76,61,1473,350,0,12,0,12,0,12,0,16,25,20,22,0,12,20,22
1500000US220710017233,"Block Group 3, Census Tract 17.23, Orleans Parish, Louisiana",1071,405,55,52,1016,413,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017234,"Block Group 4, Census Tract 17.23, Orleans Parish, Louisiana",1473,333,85,89,1388,339,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017241,"Block Group 1, Census Tract 17.24, Orleans Parish, Louisiana",523,205,147,100,376,189,0,12,0,12,0,12,5,0,12,0,12,0,12,0,12
1500000US220710017242,"Block Group 2, Census Tract 17.24, Orleans Parish, Louisiana",1147,335,78,73,1012,321,0,12,57,87,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017243,"Block Group 3, Census Tract 17.24, Orleans Parish, Louisiana",1289,407,15,19,1152,402,0,12,90,133,0,12,39,0,12,32,36,32,36,0,12
1500000US220710017244,"Block Group 4, Census Tract 17.24, Orleans Parish, Louisiana",1317,498,62,58,1206,479,0,12,0,12,0,12,49,49,79,0,12,0,12,0,12
1500000US220710017251,"Block Group 1, Census Tract 17.25, Orleans Parish, Louisiana",1341,501,14,23,1181,477,0,12,0,12,0,12,111,97,148,49,60,12,21,37,57
1500000US220710017252,"Block Group 2, Census Tract 17.25, Orleans Parish, Louisiana",1312,610,66,66,1246,611,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017253,"Block Group 3, Census Tract 17.25, Orleans Parish, Louisiana",2114,474,11,13,2103,474,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017254,"Block Group 4, Census Tract 17.25, Orleans Parish, Louisiana",1737,594,47,86,1537,537,0,12,0,12,0,12,153,153,258,0,12,0,12,0,12
1500000US220710017301,"Block Group 1, Census Tract 17.30, Orleans Parish, Louisiana",773,152,25,33,735,145,0,12,0,12,0,12,0,0,12,13,21,0,12,13,21
1500000US220710017341,"Block Group 1, Census Tract 17.34, Orleans Parish, Louisiana",677,218,554,199,0,12,8,12,52,45,0,12,28,13,21,50,42,0,12,50,42
1500000US220710017351,"Block Group 1, Census Tract 17.35, Orleans Parish, Louisiana",1128,242,2,4,1116,241,0,12,0,12,0,12,14,0,12,10,17,10,17,0,12
1500000US220710017352,"Block Group 2, Census Tract 17.35, Orleans Parish, Louisiana",768,203,57,91,711,203,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017361,"Block Group 1, Census Tract 17.36, Orleans Parish, Louisiana",444,238,6,13,427,240,0,12,0,12,0,12,11,11,20,0,12,0,12,0,12
1500000US220710017362,"Block Group 2, Census Tract 17.36, Orleans Parish, Louisiana",1181,310,81,103,1086,274,0,12,14,22,0,12,59,0,12,0,12,0,12,0,12
1500000US220710017371,"Block Group 1, Census Tract 17.37, Orleans Parish, Louisiana",1479,347,51,68,1423,339,0,12,5,8,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017372,"Block Group 2, Census Tract 17.37, Orleans Parish, Louisiana",749,270,39,39,710,273,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017373,"Block Group 3, Census Tract 17.37, Orleans Parish, Louisiana",600,163,95,50,496,163,9,13,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017391,"Block Group 1, Census Tract 17.39, Orleans Parish, Louisiana",951,184,12,19,939,184,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017392,"Block Group 2, Census Tract 17.39, Orleans Parish, Louisiana",605,204,0,12,605,204,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017401,"Block Group 1, Census Tract 17.40, Orleans Parish, Louisiana",1544,381,5,10,1374,351,0,12,0,12,0,12,0,149,226,16,28,0,12,16,28
1500000US220710017402,"Block Group 2, Census Tract 17.40, Orleans Parish, Louisiana",1409,297,0,12,1349,300,0,12,24,32,0,12,2,34,36,2,25,2,25,0,12
1500000US220710017403,"Block Group 3, Census Tract 17.40, Orleans Parish, Louisiana",1568,408,58,54,1396,344,0,12,0,12,0,12,29,0,12,114,158,0,12,114,158
1500000US220710017411,"Block Group 1, Census Tract 17.41, Orleans Parish, Louisiana",1489,142,49,44,875,133,0,12,546,124,0,12,0,0,12,19,27,0,12,19,27
1500000US220710017431,"Block Group 1, Census Tract 17.43, Orleans Parish, Louisiana",1119,270,20,33,1084,279,0,12,0,12,0,12,0,0,12,15,22,0,12,15,22
1500000US220710017432,"Block Group 2, Census Tract 17.43, Orleans Parish, Louisiana",949,347,21,28,916,342,0,12,0,12,0,12,0,12,25,0,12,0,12,0,12
1500000US220710017441,"Block Group 1, Census Tract 17.44, Orleans Parish, Louisiana",903,286,29,48,841,278,0,12,0,12,0,12,0,0,12,33,44,22,42,11,19
1500000US220710017442,"Block Group 2, Census Tract 17.44, Orleans Parish, Louisiana",1712,491,0,12,1712,491,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710017443,"Block Group 3, Census Tract 17.44, Orleans Parish, Louisiana",972,352,50,55,922,356,0,12,0,12,0,12,28,0,12,0,12,0,12,0,12
1500000US220710017451,"Block Group 1, Census Tract 17.45, Orleans Parish, Louisiana",2325,544,160,103,1978,518,5,11,0,12,0,12,102,153,189,29,52,29,52,0,12
1500000US220710017452,"Block Group 2, Census Tract 17.45, Orleans Parish, Louisiana",1448,500,10,13,1426,500,0,12,2,6,0,12,17,0,12,10,17,0,12,10,17
1500000US220710017461,"Block Group 1, Census Tract 17.46, Orleans Parish, Louisiana",1182,340,28,37,1146,345,0,12,0,12,0,12,0,0,12,8,14,0,12,8,14
