Id,Year,Total,White,Black or African American,American Indian or Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Some other race,Two or more races
1500000US220710033041,2014,961,116,845,0,0,0,33,0,0
1500000US220710033042,2014,895,79,806,5,0,0,10,0,5
1500000US220710033071,2014,829,10,782,0,0,0,49,37,0
1500000US220710033072,2014,504,5,499,0,0,0,0,0,0
1500000US220710033081,2014,376,19,285,0,0,0,46,20,52
1500000US220710033082,2014,671,32,634,0,5,0,0,0,0
1500000US220710033083,2014,1000,0,990,0,0,0,0,0,10
1500000US220710033084,2014,514,11,367,0,0,0,126,126,10
1500000US220710033085,2014,493,0,493,0,0,0,0,0,0
1500000US220710033086,2014,257,82,123,0,17,0,0,35,0
1500000US220710034001,2014,612,142,459,0,0,11,0,0,0
1500000US220710034002,2014,632,248,348,0,0,0,52,4,32
1500000US220710035001,2014,448,12,431,0,0,0,0,0,5
1500000US220710035002,2014,283,16,267,0,0,0,0,0,0
1500000US220710035003,2014,464,129,335,0,0,0,0,0,0
1500000US220710036001,2014,475,5,436,0,0,0,27,0,34
1500000US220710036002,2014,720,161,551,0,0,0,0,8,0
1500000US220710036003,2014,643,79,537,0,0,0,6,0,27
1500000US220710037011,2014,1528,520,952,5,45,0,55,0,6
1500000US220710037012,2014,741,49,692,0,0,0,5,0,0
1500000US220710037021,2014,619,4,589,0,1,0,0,0,25
1500000US220710037022,2014,695,115,544,0,29,0,0,7,0
1500000US220710037023,2014,413,20,393,0,0,0,0,0,0
1500000US220710037024,2014,636,100,511,25,0,0,11,0,0
1500000US220710037025,2014,385,316,69,0,0,0,0,0,0
1500000US220710037026,2014,595,472,85,0,0,0,28,20,18
1500000US220710038001,2014,625,614,10,0,0,0,11,0,1
1500000US220710038002,2014,606,587,12,0,7,0,73,0,0
1500000US220710039001,2014,671,293,276,0,16,0,184,0,86
1500000US220710039002,2014,695,296,339,0,0,0,47,10,50
1500000US220710040001,2014,922,184,735,0,0,0,27,0,3
1500000US220710040002,2014,1107,217,853,5,0,0,174,32,0
1500000US220710041001,2014,760,689,54,0,12,0,42,0,5
1500000US220710041002,2014,817,614,134,3,1,0,93,60,5
1500000US220710044011,2014,366,22,339,0,0,0,5,5,0
1500000US220710044012,2014,326,24,302,0,0,0,0,0,0
1500000US220710044013,2014,572,56,480,0,0,0,13,0,36
1500000US220710044021,2014,78,0,78,0,0,0,0,0,0
1500000US220710044022,2014,0,0,0,0,0,0,0,0,0
1500000US220710045001,2014,531,53,469,0,0,0,0,0,9
1500000US220710045002,2014,752,105,639,0,0,0,17,8,0
1500000US220710045003,2014,800,381,293,0,53,0,142,57,16
1500000US220710046001,2014,560,460,85,0,0,0,8,15,0
1500000US220710046002,2014,1588,1462,80,0,0,0,126,0,46
1500000US220710046003,2014,745,650,55,19,0,0,76,0,21
1500000US220710048001,2014,1050,1,997,0,1,0,0,0,51
1500000US220710049001,2014,618,196,381,33,0,0,61,8,0
1500000US220710049002,2014,458,65,307,0,0,0,73,73,13
1500000US220710049003,2014,35,0,35,0,0,0,0,0,0
1500000US220710049004,2014,346,90,251,0,5,0,32,0,0
1500000US220710050001,2014,575,320,218,5,0,0,106,15,17
1500000US220710050002,2014,1117,323,560,134,0,0,432,100,0
1500000US220710054001,2014,607,557,46,0,0,0,142,4,0
1500000US220710054002,2014,634,455,179,0,0,0,36,0,0
1500000US220710054003,2014,612,441,95,0,0,0,139,52,24
1500000US220710055001,2014,882,842,32,0,0,0,42,8,0
1500000US220710055002,2014,868,715,109,0,12,0,75,24,8
1500000US220710055003,2014,910,797,10,0,0,0,170,84,19
1500000US220710056011,2014,636,566,0,0,65,0,15,0,5
1500000US220710056012,2014,634,504,13,0,8,0,174,104,5
1500000US220710056013,2014,491,431,46,0,14,0,0,0,0
1500000US220710056014,2014,509,470,6,0,13,0,51,20,0
1500000US220710056021,2014,460,444,16,0,0,0,12,0,0
1500000US220710056022,2014,774,774,0,0,0,0,20,0,0
1500000US220710056023,2014,853,803,31,1,0,0,14,0,18
1500000US220710056024,2014,530,530,0,0,0,0,46,0,0
1500000US220710056031,2014,509,509,0,0,0,0,59,0,0
1500000US220710056032,2014,536,517,19,0,0,0,21,0,0
1500000US220710056033,2014,349,277,65,0,7,0,46,0,0
1500000US220710056041,2014,460,417,43,0,0,0,30,0,0
1500000US220710056042,2014,600,595,0,5,0,0,5,0,0
1500000US220710056043,2014,477,448,0,0,29,0,5,0,0
1500000US220710060001,2014,1829,405,1326,0,65,0,210,27,6
1500000US220710063001,2014,826,356,401,0,7,0,179,28,34
1500000US220710063002,2014,366,121,241,0,0,0,87,0,4
1500000US220710063003,2014,585,145,332,0,5,0,232,103,0
1500000US220710064001,2014,573,323,184,0,8,0,47,33,25
1500000US220710064002,2014,692,306,347,0,2,0,40,0,37
1500000US220710064003,2014,509,208,280,0,11,0,101,3,7
1500000US220710064004,2014,551,260,244,0,0,0,90,5,42
1500000US220710065001,2014,956,520,277,0,11,26,98,63,59
1500000US220710065002,2014,874,699,127,0,29,0,24,0,19
1500000US220710065003,2014,849,408,398,0,0,0,232,31,12
1500000US220710069001,2014,354,0,354,0,0,0,0,0,0
1500000US220710069002,2014,47,7,40,0,0,0,7,0,0
1500000US220710069003,2014,396,0,396,0,0,0,0,0,0
1500000US220710070001,2014,696,216,430,0,7,0,75,0,43
1500000US220710070002,2014,1105,144,911,0,23,0,44,0,27
1500000US220710071011,2014,1098,132,926,0,14,0,78,16,10
1500000US220710071012,2014,1179,426,724,0,0,0,232,0,29
1500000US220710072001,2014,1296,51,1048,0,26,0,75,46,125
1500000US220710072002,2014,619,58,536,0,0,0,34,25,0
1500000US220710072003,2014,270,24,243,0,0,0,0,0,3
1500000US220710075011,2014,507,140,367,0,0,0,55,0,0
1500000US220710075012,2014,814,14,800,0,0,0,0,0,0
1500000US220710075013,2014,566,0,566,0,0,0,0,0,0
1500000US220710075014,2014,578,0,540,0,0,0,0,33,5
1500000US220710075015,2014,297,0,297,0,0,0,0,0,0
1500000US220710075021,2014,196,0,196,0,0,0,0,0,0
1500000US220710075022,2014,355,0,355,0,0,0,8,0,0
1500000US220710075023,2014,807,10,720,0,53,24,0,0,0
1500000US220710075024,2014,288,0,288,0,0,0,0,0,0
1500000US220710075025,2014,939,103,819,0,7,0,9,0,10
1500000US220710076041,2014,1000,938,22,0,40,0,95,0,0
1500000US220710076042,2014,758,705,40,0,0,0,15,0,13
1500000US220710076051,2014,591,51,522,18,0,0,34,0,0
1500000US220710076052,2014,884,162,703,0,0,0,20,10,9
1500000US220710076061,2014,1477,1198,162,0,0,0,74,23,94
1500000US220710076062,2014,917,776,61,0,15,0,93,0,65
1500000US220710076063,2014,1465,1181,188,14,0,0,220,59,23
1500000US220710077001,2014,1343,1078,198,0,25,0,231,14,28
1500000US220710077002,2014,1234,960,204,0,0,0,140,6,64
1500000US220710078001,2014,1631,1298,114,0,67,0,445,60,92
1500000US220710082001,2014,648,596,32,0,10,0,77,10,0
1500000US220710082002,2014,778,587,129,0,0,0,114,19,43
1500000US220710083001,2014,631,602,14,0,10,0,76,0,5
1500000US220710083002,2014,516,388,115,0,8,0,30,5,0
1500000US220710084001,2014,686,230,412,0,21,0,24,5,18
