id,USExporterSiteName,US Exporter Site Street Address,US Exporter Site City,US Exporter Site State,US Exporter Site Zip Code,latitude,longitude
NYD982730632,GENERAL GALVANIZING & SUPPLY CO,810 EDGEWATER ROAD,BRONX,NY,10474,40.8176727,-73.8829498
NJD002149508,MILLER & SON,24 BELLEVILLE AVE,BELLEVILLE,NJ,7109,40.7860413,-74.1503143
CTD001148717,"THE TORRINGTON COMPANY, STANDARD PLANT",PROSPECT & NORTH STREETS,TORRINGTON,CT,6790,41.810348,-73.1224332
GAD070330576,EXIDE TECHNOLOGIES,3639 JOY ROAD,COLUMBUS,GA,31906,32.4362299,-84.9338322
MID005339155,SUPERIOR BRASS & ALUMINUM CASTING COMPANY,4893 DAWN AVENUE,EAST LANSING,MI,48823,42.723548,-84.451728
MED019051069,ENPRO SERVICES,106 MAIN STREET,SOUTH PORTLAND,ME,4106,43.6358365,-70.2866234
NHD058537960,WEBSTER VALVE INC,583 S. MAIN STREET,FRANKLIN,NH,3235,43.4187211,-71.6557302
MID005319231,"CHEMETALL OAKITE, INC",13177 HURON RIVER DRIVE,ROMULUS,MI,48174,42.2078094,-83.4031143
NJD002165140,TINNERMAN PALANUT ENGINEERED PRODUCTS,152 GLEN RD,MOUNTAINSIDE,NJ,7092,40.6819,-74.3341217
NJD986581437,HONEYWELL,P.O. BOX 1057,MORRISTOWN,NJ,7962,40.732222,-74.540516
NYD030485288,REVERE SMELTING & REFINING CORPORATION,65 BALLARD ROAD,MIDDLETOWN,NY,10941,41.4608116,-74.3603745
NYD980592497,EASTMAN KODAK COMPANY,"1669 LAKE AVENUE, 1/206/KP",ROCHESTER,NY,14652-3508,,
NYD001478841,"SILVERMAN-GORF, INC.",60 FRANKLIN AVENUE,BROOKLYN,NY,11205,40.6973076,-73.9588928
NYD093249688,BASF CORPORATION,36 RIVERSIDE AVENUE,RENSSELAER,NY,12144,42.6299858,-73.7507477
CTR000005595,THE MATTABASSETT DISTRICT,245 MAIN STREET,CROMWELL,CT,6416,41.5850852,-72.6481569
CTD001152271,"PAPE ELECTROPLATING CO., INC.",410 JOHN DOWNEY DRIVE,NEW BRITAIN,CT,6051,41.6655763,-72.7552608
CTD000604488,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,CT,6010,41.6542386,-72.905602
ILD005237805,BATTERY BUILDERS,31W 238 91 ST,NAPERVILLE,IL,60564-5623,41.7070465,-88.1995468
MAD001842764,ROCKBESTOS-SURPRENANT CABLE CORPORATION,172 STERLING STREET,CLINTON,MA,1510,42.4226137,-71.6939027
MTD000004168,"STILLWATER MINING, CO.",1730 EAST 1ST STREET,COLUMBUS,MT,59019,45.5940704,-109.2611694
SCR000006155,CONBRACO INDUSTRIES INC,1509 VAN L. MUNGO BLVD.,PAGELAND,SC,29728,34.7627029,-80.4130707
MP6175601460,"ALGONQUIN GAS TRANSMISSION, LLC",BEACHAM STREET,EVERETT,MA,2149,42.3951416,-71.0579529
NJD091859215,"MERCK & CO., INC. - HAWTHORNE, NJ FACILITY",200 WAGARAW ROAD,HAWTHORNE,NJ,7506,40.9409185,-74.1557904
