coastal_exposure_s2,coastal_exposure_no_habitats_s2,habitat_role_s2,coastal_exposure_s1,coastal_exposure_no_habitats_s1,habitat_role_s1,s1_habitat_role_percent,exposure_diff_percent,latitude,longitude
2.94168,2.96177,0.0200825,2.85955,2.96177,0.102212,3.451044477,2.79194202,49.229643,-126.060153
2.75516,2.85364,0.0984807,2.73772,2.85364,0.115919,4.06214519,0.632994091,49.231441,-125.991571
2.75516,2.85364,0.0984807,2.73772,2.85364,0.115919,4.06214519,0.632994091,49.232149,-125.964137
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.2325,-125.950419
2.94778,3.05315,0.105366,2.92912,3.05315,0.124023,4.062132552,0.633018746,49.233199,-125.922983
2.62617,2.72004,0.0938704,2.60955,2.72004,0.110492,4.062146145,0.632860782,49.233545,-125.909265
2.10258,2.11693,0.014354,2.04388,2.11693,0.0730567,3.451068292,2.791808159,49.236591,-125.785787
2.10258,2.11693,0.014354,2.04388,2.11693,0.0730567,3.451068292,2.791808159,49.23725,-125.758345
3.18138,3.2031,0.0217187,3.09256,3.2031,0.110541,3.451063033,2.791870195,49.25556,-124.838516
3.08616,3.10723,0.0210688,3,3.10723,0.107233,3.451080223,2.791818959,49.219563,-126.100736
3.08616,3.10723,0.0210688,3,3.10723,0.107233,3.451080223,2.791818959,49.220296,-126.073311
2.83429,2.85364,0.0193491,2.75516,2.85364,0.0984807,3.451055494,2.791880859,49.221385,-126.032171
2.83429,2.85364,0.0193491,2.75516,2.85364,0.0984807,3.451055494,2.791880859,49.221744,-126.018457
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.222102,-126.004743
2.83429,2.85364,0.0193491,2.75516,2.85364,0.0984807,3.451055494,2.791880859,49.222458,-125.991029
3.24445,3.2666,0.0221493,3.15387,3.2666,0.112732,3.451050021,2.791844535,49.222813,-125.977314
2.62617,2.72004,0.0938704,2.62617,2.72004,0.0938704,3.451066896,0,49.223867,-125.936169
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.225591,-125.867588
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.225931,-125.853871
2.36006,2.37618,0.0161119,2.29417,2.37618,0.0820034,3.451060105,2.791878173,49.227275,-125.799
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.227937,-125.771563
3.18138,3.2031,0.0217187,3.09256,3.2031,0.110541,3.451063033,2.791870195,49.24657,-124.838182
3.4038,3.42704,0.0232372,3.30877,3.42704,0.118269,3.451053971,2.791879664,49.246787,-124.824449
3.08616,3.10723,0.0210688,3,3.10723,0.107233,3.451080223,2.791818959,49.210948,-126.086463
2.94168,2.96177,0.0200825,2.85955,2.96177,0.102212,3.451044477,2.79194202,49.212041,-126.045332
3.30877,3.42704,0.118269,3.28783,3.42704,0.139211,4.062135254,0.632863572,49.214183,-125.963062
3.30877,3.42704,0.118269,3.28783,3.42704,0.139211,4.062135254,0.632863572,49.214534,-125.949349
2.62617,2.72004,0.0938704,2.62617,2.72004,0.0938704,3.451066896,0,49.214883,-125.935636
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.215923,-125.894496
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.216266,-125.880782
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.216947,-125.853353
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.218952,-125.771061
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.222786,-125.606449
3.18138,3.2031,0.0217187,3.09256,3.2031,0.110541,3.451063033,2.791870195,49.237579,-124.837848
3.4038,3.42704,0.0232372,3.30877,3.42704,0.118269,3.451053971,2.791879664,49.237797,-124.824118
3.08616,3.10723,0.0210688,3,3.10723,0.107233,3.451080223,2.791818959,49.202332,-126.072196
2.89933,3.10723,0.207902,2.88733,3.10723,0.219907,7.077268178,0.413888726,49.203058,-126.04478
3.30877,3.42704,0.118269,3.30877,3.42704,0.118269,3.451053971,0,49.20555,-125.948814
3.09256,3.2031,0.110541,3.09256,3.2031,0.110541,3.451063033,0,49.2059,-125.935104
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.206939,-125.893971
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.207282,-125.880259
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.207623,-125.866548
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.207963,-125.852836
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.209306,-125.797985
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.209967,-125.770558
2.18677,2.26493,0.0781641,2.18677,2.26493,0.0781641,3.451060298,0,49.212232,-125.674556
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.213178,-125.633409
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.21349,-125.619693
2.04388,2.11693,0.0730567,2.04388,2.11693,0.0730567,3.451068292,0,49.213801,-125.605976
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.228588,-124.837515
2.9938,2.9938,0,2.9938,2.9938,0,0,0,49.228806,-124.823787
3.08616,3.10723,0.0210688,3,3.10723,0.107233,3.451080223,2.791818959,49.192984,-126.085345
2.94168,2.96177,0.0200825,2.85955,2.96177,0.102212,3.451044477,2.79194202,49.193713,-126.057934
2.89933,3.10723,0.207902,2.88733,3.10723,0.219907,7.077268178,0.413888726,49.194076,-126.044228
3.30877,3.42704,0.118269,3.30877,3.42704,0.118269,3.451053971,0,49.196916,-125.934572
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.197955,-125.893446
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.198639,-125.866028
2.75516,2.85364,0.0984807,2.75516,2.85364,0.0984807,3.451055494,0,49.200321,-125.797478
2.83429,2.85364,0.0193491,2.75516,2.85364,0.0984807,3.451055494,2.791880859,49.200653,-125.783767
2.64908,2.66717,0.018085,2.57512,2.66717,0.0920458,3.451066111,2.791912664,49.200983,-125.770056
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.203879,-125.646645
2.9938,2.9938,0,2.9938,2.9938,0,0,0,49.219815,-124.823456
3.08616,3.10723,0.0210688,3,3.10723,0.107233,3.451080223,2.791818959,49.183634,-126.098488
