longitude,latitude,stop_id,title,stop_lat,stop_lon,stoplatnum,stoplonnum,rr_name,stop_desc,url
-73.40950012,40.85300064,60,Huntington,40.853,-73.40952,40.853,-73.4095,Long Island Railroad,,http://www.mta.info/lirr
-73.74420166,40.61230087,98,Inwood,40.61228,-73.74418,40.6123,-73.7442,Long Island Railroad,,http://www.mta.info/lirr
-73.873083,41.039993,,Irvington,,,0,0,Metro-North Railroad,25,http://www.mta.info/mnr
-73.65470123,40.60129929,104,Island Park,40.60129,-73.65474,40.6013,-73.6547,Long Island Railroad,,http://www.mta.info/lirr
-73.20929718,40.7358017,120,Islip,40.73583,-73.20932,40.7358,-73.2093,Long Island Railroad,,http://www.mta.info/lirr
-73.8085022,40.69960022,15,Jamaica,40.6996,-73.80853,40.6996,-73.8085,Long Island Railroad,,http://www.mta.info/lirr
-73.684155,41.259552,,Katonah,,,0,0,Metro-North Railroad,86,http://www.mta.info/mnr
-73.8309021,40.70959854,11,Kew Gardens,40.70964,-73.83089,40.7096,-73.8309,Long Island Railroad,,http://www.mta.info/lirr
-73.2562027,40.88370132,63,Kings Park,40.88366,-73.25625,40.8837,-73.2562,Long Island Railroad,,http://www.mta.info/lirr
-73.65209961,40.68579865,90,Lakeview,40.68585,-73.65214,40.6858,-73.6521,Long Island Railroad,,http://www.mta.info/lirr
-73.759792,40.933394,,Larchmont,,,0,0,Metro-North Railroad,110,http://www.mta.info/mnr
-73.75170135,40.66849899,85,Laurelton,40.66847,-73.75175,40.6685,-73.7517,Long Island Railroad,,http://www.mta.info/lirr
-73.73590088,40.61569977,97,Lawrence,40.61573,-73.7359,40.6157,-73.7359,Long Island Railroad,,http://www.mta.info/lirr
-73.36920166,40.68830109,117,Lindenhurst,40.68826,-73.36921,40.6883,-73.3692,Long Island Railroad,,http://www.mta.info/lirr
-73.74060059,40.77500153,24,Little Neck,40.77504,-73.74065,40.775,-73.7406,Long Island Railroad,,http://www.mta.info/lirr
-73.76499939,40.67509842,84,Locust Manor,40.67513,-73.76504,40.6751,-73.765,Long Island Railroad,,http://www.mta.info/lirr
-73.59829712,40.87450027,51,Locust Valley,40.87446,-73.5983,40.8745,-73.5983,Long Island Railroad,,http://www.mta.info/lirr
-73.66480255,40.59019852,105,Long Beach,40.59017,-73.66482,40.5902,-73.6648,Long Island Railroad,,http://www.mta.info/lirr
-73.95639801,40.74129868,1,Long Island City,40.74128,-73.95639,40.7413,-73.9564,Long Island Railroad,,http://www.mta.info/lirr
-73.904612,40.924972,,Ludlow,,,0,0,Metro-North Railroad,17,http://www.mta.info/mnr
-73.67610168,40.65610123,100,Lynbrook,40.65605,-73.67607,40.6561,-73.6761,Long Island Railroad,,http://www.mta.info/lirr
-73.66889954,40.67549896,89,Malverne,40.67547,-73.66886,40.6755,-73.6689,Long Island Railroad,,http://www.mta.info/lirr
-73.736125,40.954061,,Mamaroneck,,,0,0,Metro-North Railroad,111,http://www.mta.info/mnr
-73.69989777,40.79669952,26,Manhasset,40.79672,-73.6999,40.7967,-73.6999,Long Island Railroad,,http://www.mta.info/lirr
