GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710014013,220710014013,"Block Group 3, Census Tract 14.01, Orleans Parish, Louisiana",308,86,0,12,308,86,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710014014,220710014014,"Block Group 4, Census Tract 14.01, Orleans Parish, Louisiana",244,131,9,14,230,130,0,12,0,12,0,12,5,8,0,12,0,12,0,12
1500000US220710014015,220710014015,"Block Group 5, Census Tract 14.01, Orleans Parish, Louisiana",73,84,0,12,22,19,0,12,0,12,0,12,51,82,0,12,0,12,0,12
1500000US220710014016,220710014016,"Block Group 6, Census Tract 14.01, Orleans Parish, Louisiana",82,49,0,12,82,49,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710014021,220710014021,"Block Group 1, Census Tract 14.02, Orleans Parish, Louisiana",538,213,66,51,394,187,0,12,0,12,0,12,0,12,78,109,0,12,78,109
1500000US220710014022,220710014022,"Block Group 2, Census Tract 14.02, Orleans Parish, Louisiana",226,107,77,91,149,68,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710014023,220710014023,"Block Group 3, Census Tract 14.02, Orleans Parish, Louisiana",347,168,7,10,322,166,0,12,0,12,0,12,0,12,18,19,0,12,18,19
1500000US220710014024,220710014024,"Block Group 4, Census Tract 14.02, Orleans Parish, Louisiana",606,164,2,3,604,163,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710015001,220710015001,"Block Group 1, Census Tract 15, Orleans Parish, Louisiana",538,198,62,87,459,216,0,12,0,12,0,12,10,14,7,10,0,12,7,10
1500000US220710015002,220710015002,"Block Group 2, Census Tract 15, Orleans Parish, Louisiana",315,137,65,53,250,125,0,12,0,12,0,12,0,12,0,12,0,12,0,12
