Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710017021,2.21E+11,"Block Group 1, Census Tract 17.02, Orleans Parish, Louisiana",1022,289,0,12,1022,289,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017022,2.21E+11,"Block Group 2, Census Tract 17.02, Orleans Parish, Louisiana",838,265,9,12,829,266,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017023,2.21E+11,"Block Group 3, Census Tract 17.02, Orleans Parish, Louisiana",478,189,79,66,399,185,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017024,2.21E+11,"Block Group 4, Census Tract 17.02, Orleans Parish, Louisiana",644,201,339,160,173,89,0,12,132,89,0,12,0,12,0,12,0,12,0,12
1500000US220710017201,2.21E+11,"Block Group 1, Census Tract 17.20, Orleans Parish, Louisiana",615,257,0,12,539,247,0,12,9,14,0,12,9,14,58,71,0,12,58,71
1500000US220710017202,2.21E+11,"Block Group 2, Census Tract 17.20, Orleans Parish, Louisiana",654,203,0,12,633,200,0,12,0,12,0,12,21,33,0,12,0,12,0,12
1500000US220710017203,2.21E+11,"Block Group 3, Census Tract 17.20, Orleans Parish, Louisiana",1084,306,0,12,1084,306,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017204,2.21E+11,"Block Group 4, Census Tract 17.20, Orleans Parish, Louisiana",1012,423,15,23,985,419,0,12,12,18,0,12,0,12,0,12,0,12,0,12
1500000US220710017221,2.21E+11,"Block Group 1, Census Tract 17.22, Orleans Parish, Louisiana",382,197,0,12,382,197,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017222,2.21E+11,"Block Group 2, Census Tract 17.22, Orleans Parish, Louisiana",751,314,0,12,711,307,0,12,0,12,14,26,0,12,26,40,0,12,26,40
