Id,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Some other race alone,Estimate; Total: - Hispanic
220710075013,631,0,631,0,0,0,0
220710050004,372,0,344,0,0,28,28
220710006999,0,0,0,0,0,0,0
220710017332,2021,562,1347,0,49,63,60
220710014012,633,4,629,0,0,0,0
220710065001,502,444,23,0,0,35,123
220710030003,356,0,356,0,0,0,0
220710028002,561,0,561,0,0,0,0
220710065005,523,369,89,0,0,65,95
220710009026,482,0,482,0,0,0,0
220710029001,481,7,474,0,0,0,0
220710036003,711,116,591,0,0,4,4
220710075015,808,0,808,0,0,0,0
220710064005,914,398,372,0,62,82,94
220710075021,608,26,582,0,0,0,0
220710009034,659,0,659,0,0,0,0
220710014015,490,0,490,0,0,0,0
220710036001,739,43,688,0,0,8,43
220710028001,717,0,717,0,0,0,7
220710014014,755,0,755,0,0,0,8
220710021003,586,0,586,0,0,0,13
220710030002,502,10,488,0,0,4,11
220710054002,717,646,55,0,0,16,45
220710014013,676,0,676,0,0,0,0
220710011001,409,7,402,0,0,0,13
220710022002,717,83,591,0,11,32,32
220710017981,2220,0,2220,0,0,0,13
220710022003,666,17,649,0,0,0,0
220710031001,597,0,597,0,0,0,0
220710037026,1057,576,448,0,8,25,95
220710037023,549,90,413,0,0,46,51
220710014017,255,0,255,0,0,0,0
220710014016,285,0,285,0,0,0,0
220710022001,753,52,682,0,0,19,22
220710015001,399,86,290,0,4,19,49
220710046004,919,733,96,9,0,81,114
220710021001,452,22,430,0,0,0,0
220710037024,1004,193,811,0,0,0,16
220710021002,739,40,699,0,0,0,28
220710046003,1879,1795,62,7,0,15,93
220710016002,2598,0,2598,0,0,0,11
220710041001,713,554,88,7,17,47,46
220710055003,358,358,0,0,0,0,41
220710023003,680,69,611,0,0,0,0
220710023004,721,96,625,0,0,0,37
220710023002,563,25,538,0,0,0,17
220710023005,430,69,361,0,0,0,0
220710023006,774,103,656,0,0,15,14
220710055002,548,535,0,13,0,0,31
220710017982,1831,0,1831,0,0,0,0
220710037012,1441,873,564,0,0,4,26
220710037021,836,0,739,0,0,97,82
220710076043,520,520,0,0,0,0,34
220710037022,591,125,455,11,0,0,11
220710031003,441,45,396,0,0,0,17
220710031002,876,5,866,0,0,5,5
220710033064,1883,0,1883,0,0,0,0
220710055004,882,824,10,0,36,12,60
220710033052,1393,0,1393,0,0,0,0
220710033084,581,5,566,0,0,10,43
220710023001,707,75,632,0,0,0,12
220710033072,704,41,659,0,0,4,12
220710046002,0,0,0,0,0,0,0
220710055001,1100,1058,31,11,0,0,22
220710017032,466,0,466,0,0,0,0
220710023007,238,6,215,0,0,17,17
220710024012,186,24,162,0,0,0,13
220710037011,705,229,476,0,0,0,30
220710017033,1193,0,1187,0,6,0,7
220710076042,124,78,46,0,0,0,0
