Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With public assistance income,Margin of Error; Total: - With public assistance income,Estimate; Total: - No public assistance income,Margin of Error; Total: - No public assistance income
1500000US220710133021,2.2071E+11,"Block Group 1, Census Tract 133.02, Orleans Parish, Louisiana",523,71,0,12,523,71
1500000US220710133022,2.2071E+11,"Block Group 2, Census Tract 133.02, Orleans Parish, Louisiana",358,52,7,10,351,53
1500000US220710134001,2.2071E+11,"Block Group 1, Census Tract 134, Orleans Parish, Louisiana",239,70,6,11,233,70
1500000US220710134002,2.2071E+11,"Block Group 2, Census Tract 134, Orleans Parish, Louisiana",395,64,10,16,385,69
1500000US220710134003,2.2071E+11,"Block Group 3, Census Tract 134, Orleans Parish, Louisiana",815,124,12,19,803,123
1500000US220710135001,2.2071E+11,"Block Group 1, Census Tract 135, Orleans Parish, Louisiana",226,77,0,12,226,77
1500000US220710135002,2.2071E+11,"Block Group 2, Census Tract 135, Orleans Parish, Louisiana",342,95,0,12,342,95
1500000US220710135003,2.2071E+11,"Block Group 3, Census Tract 135, Orleans Parish, Louisiana",318,95,0,12,318,95
1500000US220710135004,2.2071E+11,"Block Group 4, Census Tract 135, Orleans Parish, Louisiana",416,133,0,12,416,133
1500000US220710136001,2.2071E+11,"Block Group 1, Census Tract 136, Orleans Parish, Louisiana",261,59,0,12,261,59
1500000US220710136002,2.2071E+11,"Block Group 2, Census Tract 136, Orleans Parish, Louisiana",166,45,21,29,145,41
1500000US220710137001,2.2071E+11,"Block Group 1, Census Tract 137, Orleans Parish, Louisiana",0,12,0,12,0,12
1500000US220710137002,2.2071E+11,"Block Group 2, Census Tract 137, Orleans Parish, Louisiana",69,30,0,12,69,30
1500000US220710137003,2.2071E+11,"Block Group 3, Census Tract 137, Orleans Parish, Louisiana",278,63,16,24,262,68
1500000US220710137004,2.2071E+11,"Block Group 4, Census Tract 137, Orleans Parish, Louisiana",455,81,0,12,455,81
1500000US220710138001,2.2071E+11,"Block Group 1, Census Tract 138, Orleans Parish, Louisiana",245,56,0,12,245,56
1500000US220710138002,2.2071E+11,"Block Group 2, Census Tract 138, Orleans Parish, Louisiana",263,59,0,12,263,59
1500000US220710138003,2.2071E+11,"Block Group 3, Census Tract 138, Orleans Parish, Louisiana",306,64,18,20,288,65
1500000US220710139001,2.2071E+11,"Block Group 1, Census Tract 139, Orleans Parish, Louisiana",282,68,0,12,282,68
1500000US220710139002,2.2071E+11,"Block Group 2, Census Tract 139, Orleans Parish, Louisiana",590,92,0,12,590,92
1500000US220710140001,2.2071E+11,"Block Group 1, Census Tract 140, Orleans Parish, Louisiana",93,39,6,9,87,39
1500000US220710140002,2.2071E+11,"Block Group 2, Census Tract 140, Orleans Parish, Louisiana",422,74,13,18,409,74
1500000US220710140003,2.2071E+11,"Block Group 3, Census Tract 140, Orleans Parish, Louisiana",302,66,40,33,262,70
1500000US220710140004,2.2071E+11,"Block Group 4, Census Tract 140, Orleans Parish, Louisiana",50,38,0,12,50,38
1500000US220710141001,2.2071E+11,"Block Group 1, Census Tract 141, Orleans Parish, Louisiana",492,86,0,12,492,86
1500000US220710141002,2.2071E+11,"Block Group 2, Census Tract 141, Orleans Parish, Louisiana",142,69,0,12,142,69
1500000US220710141003,2.2071E+11,"Block Group 3, Census Tract 141, Orleans Parish, Louisiana",422,95,0,12,422,95
1500000US220710142001,2.2071E+11,"Block Group 1, Census Tract 142, Orleans Parish, Louisiana",204,61,4,7,200,61
1500000US220710142002,2.2071E+11,"Block Group 2, Census Tract 142, Orleans Parish, Louisiana",530,96,0,12,530,96
1500000US220710142003,2.2071E+11,"Block Group 3, Census Tract 142, Orleans Parish, Louisiana",203,73,0,12,203,73
1500000US220710143001,2.2071E+11,"Block Group 1, Census Tract 143, Orleans Parish, Louisiana",224,58,10,15,214,58
1500000US220710143002,2.2071E+11,"Block Group 2, Census Tract 143, Orleans Parish, Louisiana",76,32,3,7,73,33
1500000US220710143003,2.2071E+11,"Block Group 3, Census Tract 143, Orleans Parish, Louisiana",410,74,38,24,372,75
1500000US220710144001,2.2071E+11,"Block Group 1, Census Tract 144, Orleans Parish, Louisiana",142,47,0,12,142,47
1500000US220710144002,2.2071E+11,"Block Group 2, Census Tract 144, Orleans Parish, Louisiana",335,74,4,7,331,74
1500000US220710144003,2.2071E+11,"Block Group 3, Census Tract 144, Orleans Parish, Louisiana",330,76,6,10,324,75
1500000US220710145001,2.2071E+11,"Block Group 1, Census Tract 145, Orleans Parish, Louisiana",0,12,0,12,0,12
1500000US220719800001,2.2072E+11,"Block Group 1, Census Tract 9800, Orleans Parish, Louisiana",0,12,0,12,0,12
1500000US220719801001,2.2072E+11,"Block Group 1, Census Tract 9801, Orleans Parish, Louisiana",0,12,0,12,0,12
1500000US220719900000,2.2072E+11,"Block Group 0, Census Tract 9900, Orleans Parish, Louisiana",0,12,0,12,0,12
