Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With public assistance income,Margin of Error; Total: - With public assistance income,Estimate; Total: - No public assistance income,Margin of Error; Total: - No public assistance income
1500000US220710012001,2.2071E+11,"Block Group 1, Census Tract 12, Orleans Parish, Louisiana",322,65,0,12,322,65
1500000US220710012002,2.2071E+11,"Block Group 2, Census Tract 12, Orleans Parish, Louisiana",223,49,9,12,214,47
1500000US220710012003,2.2071E+11,"Block Group 3, Census Tract 12, Orleans Parish, Louisiana",342,69,0,12,342,69
1500000US220710013011,2.2071E+11,"Block Group 1, Census Tract 13.01, Orleans Parish, Louisiana",307,58,42,35,265,63
1500000US220710013012,2.2071E+11,"Block Group 2, Census Tract 13.01, Orleans Parish, Louisiana",165,44,0,12,165,44
1500000US220710013013,2.2071E+11,"Block Group 3, Census Tract 13.01, Orleans Parish, Louisiana",160,42,0,12,160,42
1500000US220710013014,2.2071E+11,"Block Group 4, Census Tract 13.01, Orleans Parish, Louisiana",149,60,35,36,114,51
1500000US220710013021,2.2071E+11,"Block Group 1, Census Tract 13.02, Orleans Parish, Louisiana",193,52,7,11,186,53
1500000US220710013022,2.2071E+11,"Block Group 2, Census Tract 13.02, Orleans Parish, Louisiana",246,58,69,50,177,58
1500000US220710014011,2.2071E+11,"Block Group 1, Census Tract 14.01, Orleans Parish, Louisiana",113,39,0,12,113,39
1500000US220710014012,2.2071E+11,"Block Group 2, Census Tract 14.01, Orleans Parish, Louisiana",74,27,4,7,70,28
1500000US220710014013,2.2071E+11,"Block Group 3, Census Tract 14.01, Orleans Parish, Louisiana",145,49,7,12,138,50
1500000US220710014014,2.2071E+11,"Block Group 4, Census Tract 14.01, Orleans Parish, Louisiana",99,34,22,25,77,23
1500000US220710014015,2.2071E+11,"Block Group 5, Census Tract 14.01, Orleans Parish, Louisiana",44,36,0,12,44,36
1500000US220710014016,2.2071E+11,"Block Group 6, Census Tract 14.01, Orleans Parish, Louisiana",53,30,0,12,53,30
1500000US220710014021,2.2071E+11,"Block Group 1, Census Tract 14.02, Orleans Parish, Louisiana",240,57,6,12,234,55
1500000US220710014022,2.2071E+11,"Block Group 2, Census Tract 14.02, Orleans Parish, Louisiana",118,46,5,8,113,46
1500000US220710014023,2.2071E+11,"Block Group 3, Census Tract 14.02, Orleans Parish, Louisiana",136,53,0,12,136,53
1500000US220710014024,2.2071E+11,"Block Group 4, Census Tract 14.02, Orleans Parish, Louisiana",265,56,45,34,220,52
1500000US220710015001,2.2071E+11,"Block Group 1, Census Tract 15, Orleans Parish, Louisiana",219,53,15,18,204,50
1500000US220710015002,2.2071E+11,"Block Group 2, Census Tract 15, Orleans Parish, Louisiana",141,40,17,13,124,38
1500000US220710016001,2.2071E+11,"Block Group 1, Census Tract 16, Orleans Parish, Louisiana",0,12,0,12,0,12
1500000US220710017011,2.2071E+11,"Block Group 1, Census Tract 17.01, Orleans Parish, Louisiana",229,48,6,9,223,50
1500000US220710017012,2.2071E+11,"Block Group 2, Census Tract 17.01, Orleans Parish, Louisiana",155,39,0,12,155,39
1500000US220710017013,2.2071E+11,"Block Group 3, Census Tract 17.01, Orleans Parish, Louisiana",180,42,0,12,180,42
1500000US220710017021,2.2071E+11,"Block Group 1, Census Tract 17.02, Orleans Parish, Louisiana",313,65,0,12,313,65
1500000US220710017022,2.2071E+11,"Block Group 2, Census Tract 17.02, Orleans Parish, Louisiana",306,65,0,12,306,65
1500000US220710017023,2.2071E+11,"Block Group 3, Census Tract 17.02, Orleans Parish, Louisiana",154,46,0,12,154,46
1500000US220710017024,2.2071E+11,"Block Group 4, Census Tract 17.02, Orleans Parish, Louisiana",150,49,0,12,150,49
1500000US220710017201,2.2071E+11,"Block Group 1, Census Tract 17.20, Orleans Parish, Louisiana",192,64,6,10,186,64
1500000US220710017202,2.2071E+11,"Block Group 2, Census Tract 17.20, Orleans Parish, Louisiana",235,74,0,12,235,74
1500000US220710017203,2.2071E+11,"Block Group 3, Census Tract 17.20, Orleans Parish, Louisiana",445,93,18,21,427,94
1500000US220710017204,2.2071E+11,"Block Group 4, Census Tract 17.20, Orleans Parish, Louisiana",321,95,0,12,321,95
1500000US220710017221,2.2071E+11,"Block Group 1, Census Tract 17.22, Orleans Parish, Louisiana",167,82,12,20,155,79
1500000US220710017222,2.2071E+11,"Block Group 2, Census Tract 17.22, Orleans Parish, Louisiana",253,81,0,12,253,81
1500000US220710017223,2.2071E+11,"Block Group 3, Census Tract 17.22, Orleans Parish, Louisiana",431,80,0,12,431,80
1500000US220710017224,2.2071E+11,"Block Group 4, Census Tract 17.22, Orleans Parish, Louisiana",172,54,0,12,172,54
